sequenceid,xp,yp,rp,xi,yi,ri
11111111_LG_I1_Live_L_D1_1,379.68675748517,252.30588901537,50.5056316596005,385.584049565449,255.195580097222,107.700904274299
11111111_LG_I1_Live_L_D1_2,374.940290022902,257.274062986995,52.058668606493,383.174989336186,259.529747183926,108.031126820535
11111111_LG_I1_Live_L_D1_3,366.00244632636,255.678438753459,52.5630740122645,373.049534253837,257.609666033047,107.53459060141
11111111_LG_I1_Live_L_D2_1,318.166341950414,244.501319234575,45.0003210781656,324.605247030367,249.494935353818,98.6727351883363
11111111_LG_I1_Live_L_D2_2,315.169195843254,243.277125920102,43.0307385200745,321.139696409587,247.796153766605,101.057159582687
11111111_LG_I1_Live_L_D2_3,319.25616426539,235.267232710451,37.8579165335663,326.272169722633,241.747817090935,99.9635300789886
11111111_LG_I1_Live_L_U1_1,389.52627212801,242.98802916571,52.7973279451874,395.868960085728,243.267821503092,106.561765856676
11111111_LG_I1_Live_L_U1_2,391.124755188103,232.093280517106,58.3730097545945,398.056925711901,231.484898494753,108.089133804984
11111111_LG_I1_Live_L_U1_3,384.786147122705,229.20994073828,57.6100255423522,390.187683257403,229.586246777402,110.474007303534
11111111_LG_I1_Live_L_U2_1,356.531825348512,246.924772877115,52.9828862085437,360.528064438283,250.552668805897,102.692309055805
11111111_LG_I1_Live_L_U2_2,356.628022311171,243.471811538741,54.8649931667751,361.535983380386,247.492316635439,102.621319630466
11111111_LG_I1_Live_L_U2_3,360.220029444086,250.394539115085,55.3003218657437,364.606025801368,255.711765845912,102.731357195422
11111111_LG_I1_Live_R_D1_1,361.907654109228,267.85783649492,49.3360001765425,358.547150279365,266.948323274801,109.26985948304
11111111_LG_I1_Live_R_D1_2,349.276490856106,264.354435200263,51.3900313453069,344.032151716389,267.748938234169,107.22528300512
11111111_LG_I1_Live_R_D1_3,352.045924739836,267.935321112091,50.4948943038004,345.996599342641,272.03781605377,106.321842215494
11111111_LG_I1_Live_R_D2_1,313.996036804009,248.951079451523,47.4031388128482,309.108510910575,247.441948116306,98.7782812910345
11111111_LG_I1_Live_R_D2_2,318.129832195307,238.753390506238,47.0870792555292,312.606084060168,241.16394988986,97.2954635253123
11111111_LG_I1_Live_R_D2_3,319.766490526245,245.046086544517,46.4822902567967,317.427136950563,244.089066600124,100.128821237611
11111111_LG_I1_Live_R_U1_1,401.925569513291,263.027588026746,56.8658214589086,398.427894358796,271.743989975539,106.447525211284
11111111_LG_I1_Live_R_U1_2,397.866568292232,258.778418205795,56.1397970221014,396.0319273976,262.280604866435,107.238362368427
11111111_LG_I1_Live_R_U1_3,398.183649007689,259.991947551402,55.4417644185138,395.159320359336,266.691951068569,105.881450754774
11111111_LG_I1_Live_R_U2_1,379.931174390606,252.319479493777,51.1541449553423,375.935054862932,243.479859755428,103.646083422575
11111111_LG_I1_Live_R_U2_2,372.416457720818,250.578339539983,50.9564199982595,369.378140979599,239.137274098412,104.950955100914
11111111_LG_I1_Live_R_U2_3,368.74924061759,246.779069825451,51.4487527699933,365.255457062617,247.646030199336,98.1874467203493
11111111_LG_I1_Print_L_D1_1,470.649336402952,293.202092319655,30.7057465109277,475.036818563474,298.496814788422,127.589877756384
11111111_LG_I1_Print_L_D1_2,338.97340578419,210.084404437048,70.6149622965645,349.759784663333,218.251739669072,161.163985077606
11111111_LG_I1_Print_L_D1_3,615.037841277071,196.646670760995,28.5143965958099,598.19380002348,206.247052939517,105.892305634775
11111111_LG_I1_Print_L_D2_1,617.19498550649,244.684603700679,28.1870085633103,602.201508514533,239.072867936531,95.3036420641465
11111111_LG_I1_Print_L_D2_2,595.442729996863,205.345291270887,34.7066531531022,588.374525299991,214.910392011995,146.446477325074
11111111_LG_I1_Print_L_D2_3,608.328415263766,203.328371249489,22.2846136963595,597.249394402667,208.223033928838,88.7167848667523
11111111_LG_I1_Print_L_U1_2,438.140006142861,201.422958985457,18.391002580349,436.591956174764,197.954183733132,83.5019409445274
11111111_LG_I1_Print_L_U1_3,627.960453950881,221.426103823503,20.232976550209,622.284934435047,218.779740503024,87.5726513712504
11111111_LG_I1_Print_L_U2_1,25.7003186119487,199.864292790468,32.423004327923,21.4416785156088,188.686762972811,119.632464329903
11111111_LG_I1_Print_L_U2_2,122.978792928212,243.096678261212,20.545442250135,121.948213259993,242.774636844343,87.8547314845138
11111111_LG_I1_Print_L_U2_3,18.7949707080177,171.70410574037,25.4951011938192,18.7369607804483,157.052630031577,97.5431603317463
11111111_LG_I1_Print_R_D1_1,362.130112216616,249.202835952222,79.2055718509991,354.023956075862,255.577393409429,160.696636369766
11111111_LG_I1_Print_R_D1_2,17.8124513189235,148.734841290142,19.8124082248502,13.5980773378704,147.432900527684,91.160811803296
11111111_LG_I1_Print_R_D1_3,101.706163144179,123.402618493769,32.5923219696896,105.093745577073,116.206404250714,101.771868360088
11111111_LG_I1_Print_R_D2_1,76.100358595638,130.206873770291,24.7925208610329,65.0129053247361,137.490562115421,104.771762594898
11111111_LG_I1_Print_R_D2_2,14.8075531589216,146.377311215695,20.0797844832022,15.9157290087208,145.086096813121,86.0664762183817
11111111_LG_I1_Print_R_D2_3,17.7284847597348,193.346793080427,21.7046013214191,16.3886311393207,192.697884652041,96.7062913791306
11111111_LG_I1_Print_R_U1_1,26.5234703246448,178.150505180732,37.4661642822695,38.4828579949581,191.171771371357,157.963451374784
11111111_LG_I1_Print_R_U1_2,8.59442283089747,215.376328132661,22.6292753444324,13.6295579667107,215.834061819228,92.2423549221223
11111111_LG_I1_Print_R_U1_3,-0.468109700035873,222.677728469913,26.1643009508752,-2.87031582969475,218.577330133767,116.4640536543
11111111_LG_I1_Print_R_U2_1,381.455015447153,236.343553863627,75.5675798557188,395.035836782547,246.815948340795,171.811338568252
11111111_LG_I1_Print_R_U2_2,619.888629055108,181.713996597257,25.4365217113932,614.41399001776,186.333424926876,93.6308602952274
11111111_LG_I1_Print_R_U2_3,627.398290450938,243.790785516062,24.0609615232007,610.804166870623,246.417471028631,99.8759774617353
11111111_LG_I2_Live_L_D1_1,344.898480590851,251.991791304328,45.8022990330795,351.625144330406,254.089858042235,105.467053245741
11111111_LG_I2_Live_L_D1_2,342.793233649237,253.295102131614,47.159956968979,350.170058106737,255.18152817831,105.960038602076
11111111_LG_I2_Live_L_D1_3,344.456219297066,258.271421982365,47.3424864040422,350.482995720709,261.024780602895,106.189999155982
11111111_LG_I2_Live_L_D2_1,306.412909875394,243.773857203262,43.3148921094845,310.588855263304,235.47243820805,106.462142583028
11111111_LG_I2_Live_L_D2_2,312.236802230307,245.341746789288,42.1975713160632,316.263663762661,233.67822492282,109.5758856148
11111111_LG_I2_Live_L_D2_3,313.879137862984,240.686572424882,44.6961105962214,318.199675031358,243.850436515443,99.6308802935129
11111111_LG_I2_Live_L_U1_1,380.56148118397,248.627757175408,44.6815784038114,388.194595842086,244.707784039296,109.778124175768
11111111_LG_I2_Live_L_U1_2,378.643588553099,254.482877156388,44.0163468871155,385.205315814441,254.236555546529,109.597046152696
11111111_LG_I2_Live_L_U1_3,383.281984548288,252.363992974974,42.8795225010779,390.650034324898,250.005793036122,109.162372411638
11111111_LG_I2_Live_L_U2_1,352.083712716136,223.602758658849,45.1576323566206,354.154444411471,228.962210490585,103.546380479868
11111111_LG_I2_Live_L_U2_2,357.337192045057,228.209621677338,45.7405628399027,361.071944958728,232.609655292175,102.291875016193
11111111_LG_I2_Live_L_U2_3,357.493234813953,229.296340095902,46.0677552970411,360.298046622932,235.082559767226,102.860340716297
11111111_LG_I2_Live_R_D1_1,363.632476538161,262.973195785394,47.3858126711914,358.666046621105,263.53919721581,106.639888714396
11111111_LG_I2_Live_R_D1_2,372.541678841879,252.585309792944,42.5499531986692,366.963907081135,252.544513373705,107.686818987114
11111111_LG_I2_Live_R_D1_3,394.234579459609,244.74117339791,34.3637820489439,386.779892653821,230.339997614094,115.521762594895
11111111_LG_I2_Live_R_D2_1,336.919964609205,233.960918405248,26.1081647072425,346.846117751869,238.385020398319,95.9282110184135
11111111_LG_I2_Live_R_D2_2,334.609369453982,237.624502145357,22.1420750798223,333.904388055537,243.20191961174,85.0644779063148
11111111_LG_I2_Live_R_D2_3,333.694866477256,238.62915098116,25.9264315612922,344.431041168443,241.765052284559,96.6859638068446
11111111_LG_I2_Live_R_U1_1,383.500643426132,265.630970417355,44.6047721709095,377.97329011678,264.637232678757,106.989707225911
11111111_LG_I2_Live_R_U1_2,382.349358391688,263.488585397138,46.2102852827336,377.85776330667,268.697440853677,102.475380349096
11111111_LG_I2_Live_R_U1_3,379.162613947351,266.389544177089,45.6570109181338,375.192292494858,269.231088179412,103.474168482382
11111111_LG_I2_Live_R_U2_1,392.965164935687,246.690649235215,40.0697916070427,388.205072842252,241.258610675604,100.986492270997
11111111_LG_I2_Live_R_U2_2,386.70237767019,246.275512589912,40.6837154226262,381.773171190399,241.080341163119,101.955616028149
