sequenceid,xp,yp,rp,xi,yi,ri
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-18-10,318.9808018,232.3910355,38.19873484,313.4694483,236.9910426,110.1467744
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-18-17,306.3344397,224.1247981,39.94874918,301.5399843,232.7858464,119.4523582
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-18-23,304.0125835,226.610666,41.81414013,297.9599341,233.3608752,120.6284197
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-18-31,320.9116964,252.7675714,42.36572278,316.3818518,259.4234735,116.8155886
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-18-39,314.4563254,232.5326103,38.49411885,310.7612156,237.2230946,106.0951742
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-18-46,305.5015541,243.146247,40.67010175,300.3624495,245.4280341,114.2760475
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-17-27,313.4822602,226.7179641,44.69671797,317.5139358,231.1431241,121.4737444
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-17-34,329.1499602,246.2550582,41.37802959,333.4771968,250.9682092,119.0315557
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-17-41,319.2774514,227.6673669,41.14827407,323.2550477,232.5476913,122.85788
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-17-47,317.1646011,233.0022891,37.91389521,320.718757,240.2754055,123.0241815
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-17-53,314.9317437,207.2108208,38.30886726,318.351239,209.8775998,116.5603848
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-18-00,316.5172662,212.8908183,38.44058759,319.828703,215.8137458,116.1893624
