fileid,path,attack
1,Test/Contacts/AN10_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-18-10.bmp,1
2,Test/Contacts/AN10_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-18-17.bmp,1
3,Test/Contacts/AN10_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-18-23.bmp,1
4,Test/Contacts/AN10_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-18-31.bmp,1
5,Test/Contacts/AN10_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-18-39.bmp,1
6,Test/Contacts/AN10_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-18-46.bmp,1
7,Test/Contacts/AN10_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-17-27.bmp,1
8,Test/Contacts/AN10_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-17-34.bmp,1
9,Test/Contacts/AN10_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-17-41.bmp,1
10,Test/Contacts/AN10_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-17-47.bmp,1
11,Test/Contacts/AN10_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-17-53.bmp,1
12,Test/Contacts/AN10_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-18-00.bmp,1
13,Test/Contacts/AN10_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-23-42.bmp,1
14,Test/Contacts/AN10_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-23-49.bmp,1
15,Test/Contacts/AN10_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-23-56.bmp,1
16,Test/Contacts/AN10_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-24-02.bmp,1
17,Test/Contacts/AN10_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-24-08.bmp,1
18,Test/Contacts/AN10_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-24-15.bmp,1
19,Test/Contacts/AN10_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-22-55.bmp,1
20,Test/Contacts/AN10_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-23-02.bmp,1
21,Test/Contacts/AN10_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-23-10.bmp,1
22,Test/Contacts/AN10_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-23-17.bmp,1
23,Test/Contacts/AN10_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-23-24.bmp,1
24,Test/Contacts/AN10_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-23-32.bmp,1
25,Test/Contacts/AN10_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-28-16-43-21.bmp,1
26,Test/Contacts/AN10_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-28-16-43-27.bmp,1
27,Test/Contacts/AN10_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-28-16-43-35.bmp,1
28,Test/Contacts/AN10_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-28-16-43-41.bmp,1
29,Test/Contacts/AN10_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-28-16-43-49.bmp,1
30,Test/Contacts/AN10_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-28-16-43-56.bmp,1
31,Test/Contacts/AN10_Day_2_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-28-16-42-35.bmp,1
32,Test/Contacts/AN10_Day_2_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-28-16-42-43.bmp,1
33,Test/Contacts/AN10_Day_2_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-28-16-42-51.bmp,1
34,Test/Contacts/AN10_Day_2_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-28-16-42-57.bmp,1
35,Test/Contacts/AN10_Day_2_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-28-16-43-05.bmp,1
