fileid,path,attack
4210,Train/Contacts/1000_spoof_contacts.bmp,1
4211,Train/Contacts/100_spoof_contacts.bmp,1
4212,Train/Contacts/101_spoof_contacts.bmp,1
4213,Train/Contacts/102_spoof_contacts.bmp,1
4214,Train/Contacts/103_spoof_contacts.bmp,1
4215,Train/Contacts/104_spoof_contacts.bmp,1
4216,Train/Contacts/105_spoof_contacts.bmp,1
4217,Train/Contacts/106_spoof_contacts.bmp,1
4218,Train/Contacts/107_spoof_contacts.bmp,1
4219,Train/Contacts/108_spoof_contacts.bmp,1
4220,Train/Contacts/109_spoof_contacts.bmp,1
4221,Train/Contacts/10_spoof_contacts.bmp,1
4222,Train/Contacts/110_spoof_contacts.bmp,1
4223,Train/Contacts/111_spoof_contacts.bmp,1
4224,Train/Contacts/112_spoof_contacts.bmp,1
4225,Train/Contacts/113_spoof_contacts.bmp,1
4226,Train/Contacts/114_spoof_contacts.bmp,1
4227,Train/Contacts/115_spoof_contacts.bmp,1
4228,Train/Contacts/116_spoof_contacts.bmp,1
4229,Train/Contacts/117_spoof_contacts.bmp,1
4230,Train/Contacts/118_spoof_contacts.bmp,1
4231,Train/Contacts/119_spoof_contacts.bmp,1
4232,Train/Contacts/11_spoof_contacts.bmp,1
4233,Train/Contacts/120_spoof_contacts.bmp,1
4234,Train/Contacts/121_spoof_contacts.bmp,1
4235,Train/Contacts/122_spoof_contacts.bmp,1
4236,Train/Contacts/123_spoof_contacts.bmp,1
4237,Train/Contacts/124_spoof_contacts.bmp,1
4238,Train/Contacts/125_spoof_contacts.bmp,1
4239,Train/Contacts/126_spoof_contacts.bmp,1
4240,Train/Contacts/127_spoof_contacts.bmp,1
4241,Train/Contacts/128_spoof_contacts.bmp,1
4242,Train/Contacts/129_spoof_contacts.bmp,1
4243,Train/Contacts/12_spoof_contacts.bmp,1
4244,Train/Contacts/130_spoof_contacts.bmp,1
4245,Train/Contacts/131_spoof_contacts.bmp,1
4246,Train/Contacts/132_spoof_contacts.bmp,1
4247,Train/Contacts/133_spoof_contacts.bmp,1
4248,Train/Contacts/134_spoof_contacts.bmp,1
4249,Train/Contacts/135_spoof_contacts.bmp,1
4250,Train/Contacts/136_spoof_contacts.bmp,1
4251,Train/Contacts/137_spoof_contacts.bmp,1
4252,Train/Contacts/138_spoof_contacts.bmp,1
4253,Train/Contacts/139_spoof_contacts.bmp,1
4254,Train/Contacts/13_spoof_contacts.bmp,1
4255,Train/Contacts/140_spoof_contacts.bmp,1
