sequenceid,xp,yp,rp,xi,yi,ri
0039_PRNT_R_1,296.39228134009,280.062620176408,32.5649135257385,296.313877173347,277.149209665201,117.671149253346
0039_PRNT_R_2,294.005963828272,188.528686256919,30.8156432461517,295.713639332904,184.707070607578,114.776818264387
0039_PRNT_R_3,285.519397086004,287.841746626359,29.5414401083425,290.072569210649,289.952119560197,119.435594405023
0039_REAL_R_1,292.005444249822,251.453911342836,37.9829663480921,288.195387797264,256.269861855908,117.209221968004
0039_REAL_R_2,343.592775293131,232.23224763651,40.7618462381739,339.721852924717,233.34486504255,122.645206725293
0039_REAL_R_3,330.681971405629,235.376294511311,39.0640707277816,327.929737898612,239.685711475934,118.300299596944
0040_PRNT_L_1,295.0775800721,207.469618449516,55.7539889307379,282.013675254725,211.654953143789,137.308755692813
0040_PRNT_L_2,362.808154051241,230.038263405972,51.8267256792735,353.616515806998,234.522288599431,133.614360679657
0040_PRNT_L_3,328.508255156676,217.561674850338,57.9957217474761,325.014184239046,227.682400157417,135.437154412942
0040_PRNT_R_1,316.533657246009,215.127244838655,43.7809511068987,308.415216890503,217.315786734508,131.159332032072
0040_PRNT_R_2,324.341010036473,238.963737810213,41.6437092061327,317.420346174965,239.262733925563,124.797226215564
0040_PRNT_R_3,348.343454056778,217.980515977687,32.7949460597772,341.209407801649,227.625987398486,120.187710229029
0040_REAL_L_1,339.326626534403,274.097323851338,53.0996962643433,343.251300250523,271.849984476626,117.030716521921
0040_REAL_L_2,342.586705293308,248.244965093718,46.8792263301167,346.166520579988,247.741460106366,114.810014189773
0040_REAL_L_3,342.149165899155,242.956016955751,40.0998822521277,346.039546583985,244.472407959894,110.561786535384
0040_REAL_R_1,292.693402845399,240.75666737222,50.7493651001639,290.707908264444,240.08734735815,115.667327613591
0040_REAL_R_2,314.123479777779,246.238766438516,41.6540462104595,312.533491695564,247.078148661039,111.472389047906
0040_REAL_R_3,321.882994875199,242.583062965705,39.537344700141,319.930729872315,245.166756986291,109.451183463624
0041_PRNT_L_1,295.313103227654,242.153364569348,39.7306811062535,306.807907254268,237.91750934306,128.079139553151
0041_PRNT_L_2,349.26700153201,239.160252375981,32.0063832746789,359.079050366581,244.905371099899,132.217558367167
0041_PRNT_L_3,340.835233515589,230.914818905237,31.796886131549,350.005604378673,237.327350971413,131.784242146982
0041_PRNT_R_1,312.780529050508,228.572552173048,45.3060885683505,315.543420670395,230.329801579524,137.548506611587
0041_PRNT_R_2,283.595924438039,229.219140639101,32.3275627271296,282.128566560343,230.904628692902,136.53838532503
0041_PRNT_R_3,299.304729886741,232.45800590268,33.5119842136837,298.369678450736,239.368670205983,135.552071262278
0041_REAL_L_1,310.017076606972,240.189456635118,37.6121952887631,315.095010350423,244.325743773968,118.858182618554
0041_REAL_L_2,346.676010935219,236.994378838109,36.682575892884,352.260315650857,237.738051686177,122.661273480994
0041_REAL_L_3,319.607121642561,221.701057038552,37.8696691162923,324.207523574963,218.855759116568,123.462268881499
0041_REAL_R_1,318.282862302803,241.315104809232,37.8239248508114,315.877009831855,241.785179563686,122.069817936503
0041_REAL_R_2,311.498510757795,257.595464208261,39.3316375723239,309.389530565715,252.731458188606,122.163486803352
0041_REAL_R_3,290.459099851392,228.777594783135,38.3735202006189,288.733733442558,226.635534301293,123.0761247223
0042_PRNT_R_1,289.937419243401,233.715942015049,45.5057436341988,285.528090870187,227.489239062356,145.104249209932
0042_PRNT_R_2,313.715438711906,227.201160637449,40.4830879380442,308.820309708143,232.255316884918,121.046132423035
0042_PRNT_R_3,343.8623633568,244.659489687442,40.37477263094,340.096846701163,241.409174587566,124.366333262565
0042_REAL_R_1,318.405415473892,237.611965561668,38.1887621680999,313.796377941162,240.397541675925,118.865353076995
0042_REAL_R_2,324.419768743375,281.815178783232,40.5996313976142,320.252438625615,287.519713789337,119.424341235539
0042_REAL_R_3,320.88784095507,237.096327889578,38.4960656972217,316.147675469043,235.855628791666,126.016147688948
0043_PRNT_L_1,286.56458365821,208.307021977786,44.0628213091138,294.005214823002,210.550673997914,134.663717741528
