fname,spoof,eye,sequenceid
0039_PRNT_R_1.png,1,R,0039_1
0039_PRNT_R_2.png,1,R,0039_2
0039_PRNT_R_3.png,1,R,0039_3
0039_REAL_R_1.png,0,R,0039_1
0039_REAL_R_2.png,0,R,0039_2
0039_REAL_R_3.png,0,R,0039_3
0040_PRNT_L_1.png,1,L,0040_1
0040_PRNT_L_2.png,1,L,0040_2
0040_PRNT_L_3.png,1,L,0040_3
0040_PRNT_R_1.png,1,R,0040_1
0040_PRNT_R_2.png,1,R,0040_2
0040_PRNT_R_3.png,1,R,0040_3
0040_REAL_L_1.png,0,L,0040_1
0040_REAL_L_2.png,0,L,0040_2
0040_REAL_L_3.png,0,L,0040_3
0040_REAL_R_1.png,0,R,0040_1
0040_REAL_R_2.png,0,R,0040_2
0040_REAL_R_3.png,0,R,0040_3
0041_PRNT_L_1.png,1,L,0041_1
0041_PRNT_L_2.png,1,L,0041_2
0041_PRNT_L_3.png,1,L,0041_3
0041_PRNT_R_1.png,1,R,0041_1
0041_PRNT_R_2.png,1,R,0041_2
0041_PRNT_R_3.png,1,R,0041_3
0041_REAL_L_1.png,0,L,0041_1
0041_REAL_L_2.png,0,L,0041_2
0041_REAL_L_3.png,0,L,0041_3
0041_REAL_R_1.png,0,R,0041_1
0041_REAL_R_2.png,0,R,0041_2
0041_REAL_R_3.png,0,R,0041_3
0042_PRNT_R_1.png,1,R,0042_1
0042_PRNT_R_2.png,1,R,0042_2
0042_PRNT_R_3.png,1,R,0042_3
0042_REAL_R_1.png,0,R,0042_1
0042_REAL_R_2.png,0,R,0042_2
0042_REAL_R_3.png,0,R,0042_3
0043_PRNT_L_1.png,1,L,0043_1
0043_PRNT_L_2.png,1,L,0043_2
0043_PRNT_L_3.png,1,L,0043_3
0043_PRNT_R_1.png,1,R,0043_1
0043_PRNT_R_2.png,1,R,0043_2
0043_PRNT_R_3.png,1,R,0043_3
0043_REAL_L_1.png,0,L,0043_1
0043_REAL_L_2.png,0,L,0043_2
0043_REAL_L_3.png,0,L,0043_3
0043_REAL_R_1.png,0,R,0043_1
0043_REAL_R_2.png,0,R,0043_2
0043_REAL_R_3.png,0,R,0043_3
0044_PRNT_L_1.png,1,L,0044_1
0044_PRNT_L_2.png,1,L,0044_2
0044_PRNT_L_3.png,1,L,0044_3
0044_REAL_L_1.png,0,L,0044_1
0044_REAL_L_2.png,0,L,0044_2
0044_REAL_L_3.png,0,L,0044_3
0045_PRNT_L_1.png,1,L,0045_1
0045_PRNT_L_2.png,1,L,0045_2
0045_REAL_L_1.png,0,L,0045_1
0045_REAL_L_2.png,0,L,0045_2
0045_REAL_L_3.png,0,L,0045_3
0048_PRNT_L_1.png,1,L,0048_1
0048_PRNT_L_2.png,1,L,0048_2
0048_PRNT_L_3.png,1,L,0048_3
0048_REAL_L_1.png,0,L,0048_1
0048_REAL_L_2.png,0,L,0048_2
0048_REAL_L_3.png,0,L,0048_3
0049_PRNT_L_1.png,1,L,0049_1
0049_PRNT_L_2.png,1,L,0049_2
0049_PRNT_L_3.png,1,L,0049_3
0049_REAL_L_1.png,0,L,0049_1
0049_REAL_L_2.png,0,L,0049_2
0049_REAL_L_3.png,0,L,0049_3
0050_PRNT_L_1.png,1,L,0050_1
0050_PRNT_L_2.png,1,L,0050_2
0050_PRNT_L_3.png,1,L,0050_3
0050_PRNT_R_1.png,1,R,0050_1
0050_PRNT_R_2.png,1,R,0050_2
0050_PRNT_R_3.png,1,R,0050_3
0050_REAL_L_1.png,0,L,0050_1
0050_REAL_L_2.png,0,L,0050_2
0050_REAL_L_3.png,0,L,0050_3
0050_REAL_R_1.png,0,R,0050_1
0050_REAL_R_2.png,0,R,0050_2
0050_REAL_R_3.png,0,R,0050_3
0051_PRNT_R_1.png,1,R,0051_1
0051_PRNT_R_2.png,1,R,0051_2
0051_PRNT_R_3.png,1,R,0051_3
0051_REAL_R_1.png,0,R,0051_1
0051_REAL_R_2.png,0,R,0051_2
0051_REAL_R_3.png,0,R,0051_3
0052_PRNT_R_1.png,1,R,0052_1
0052_PRNT_R_2.png,1,R,0052_2
0052_PRNT_R_3.png,1,R,0052_3
0052_REAL_R_1.png,0,R,0052_1
0052_REAL_R_2.png,0,R,0052_2
0052_REAL_R_3.png,0,R,0052_3
0054_PRNT_L_1.png,1,L,0054_1
0054_PRNT_L_2.png,1,L,0054_2
0054_PRNT_L_3.png,1,L,0054_3
0054_PRNT_R_1.png,1,R,0054_1
0054_PRNT_R_2.png,1,R,0054_2
0054_PRNT_R_3.png,1,R,0054_3
0054_REAL_L_1.png,0,L,0054_1
0054_REAL_L_2.png,0,L,0054_2
0054_REAL_L_3.png,0,L,0054_3
0054_REAL_R_1.png,0,R,0054_1
0054_REAL_R_2.png,0,R,0054_2
0054_REAL_R_3.png,0,R,0054_3
0055_PRNT_L_1.png,1,L,0055_1
0055_PRNT_L_2.png,1,L,0055_2
0055_PRNT_L_3.png,1,L,0055_3
0055_PRNT_R_1.png,1,R,0055_1
0055_PRNT_R_2.png,1,R,0055_2
